Vuosi,y_coord,x_coord,Onnettomuustyyppi 1
2009,6680805,3373981,21 Rakennuspalo
2009,6676941,3387152,21 Rakennuspalo
2009,6677192,3366001,21 Rakennuspalo
2009,6676907,3367118,21 Rakennuspalo
2009,6677960,3387503,21 Rakennuspalo
2009,6674695,3386411,21 Rakennuspalo
2009,6681988,3393341,21 Rakennuspalo
2009,6683881,3386971,21 Rakennuspalo
2009,6676530,3386021,21 Rakennuspalo
2009,6675605,3374613,21 Rakennuspalo
2009,6691269,3394935,21 Rakennuspalo
2009,6675914,3386995,21 Rakennuspalo
2009,6680207,3379211,21 Rakennuspalo
2009,6673122,3373671,21 Rakennuspalo
2009,6673126,3373676,21 Rakennuspalo
2009,6685288,3388251,21 Rakennuspalo
2009,6677356,3377532,21 Rakennuspalo
2009,6681725,3394548,21 Rakennuspalo
2009,6679001,3397330,21 Rakennuspalo
2009,6681017,3398648,21 Rakennuspalo
2009,6673694,3385563,21 Rakennuspalo
2009,6676812,3386694,21 Rakennuspalo
2009,6674993,3385743,21 Rakennuspalo
2009,6682368,3394784,21 Rakennuspalo
2009,6675542,3385232,21 Rakennuspalo
2009,6688078,3387403,21 Rakennuspalo
2009,6679206,3396207,21 Rakennuspalo
2009,6687541,3391700,21 Rakennuspalo
2009,6686296,3378320,21 Rakennuspalo
2009,6682910,3395045,21 Rakennuspalo
2009,6676492,3384716,21 Rakennuspalo
2009,6681969,3391631,21 Rakennuspalo
2009,6686053,3381105,21 Rakennuspalo
2009,6687589,3393958,21 Rakennuspalo
2009,6676213,3376652,21 Rakennuspalo
2009,6673847,3368773,21 Rakennuspalo
2009,6673615,3386200,21 Rakennuspalo
2009,6674727,3381255,21 Rakennuspalo
2009,6691422,3387816,21 Rakennuspalo
2009,6674033,3392114,21 Rakennuspalo
2009,6680543,3393400,21 Rakennuspalo
2009,6681287,3389384,21 Rakennuspalo
2009,6679352,3373034,21 Rakennuspalo
2009,6684556,3386012,21 Rakennuspalo
2009,6685254,3373922,21 Rakennuspalo
2009,6678350,3381726,21 Rakennuspalo
2009,6674044,3392154,21 Rakennuspalo
2009,6682382,3393415,21 Rakennuspalo
2009,6674948,3384950,21 Rakennuspalo
2009,6678819,3396795,21 Rakennuspalo
2009,6685683,3389570,21 Rakennuspalo
2009,6679457,3396668,21 Rakennuspalo
2009,6674498,3375898,21 Rakennuspalo
2009,6676249,3386764,21 Rakennuspalo
2009,6680064,3382545,21 Rakennuspalo
2009,6692692,3392811,21 Rakennuspalo
2009,6678884,3382464,21 Rakennuspalo
2009,6686737,3384948,21 Rakennuspalo
2009,6678118,3386030,21 Rakennuspalo
2009,6673812,3382983,21 Rakennuspalo
2009,6673980,3382683,21 Rakennuspalo
2009,6681417,3390298,21 Rakennuspalo
2009,6688593,3371870,21 Rakennuspalo
2009,6675142,3389885,21 Rakennuspalo
2009,6685833,3390823,21 Rakennuspalo
2009,6690907,3395271,21 Rakennuspalo
2009,6675068,3368882,21 Rakennuspalo
2009,6687661,3384487,21 Rakennuspalo
2009,6693760,3395253,21 Rakennuspalo
2009,6681551,3387419,21 Rakennuspalo
2009,6676913,3386778,21 Rakennuspalo
2009,6685340,3392259,21 Rakennuspalo
2009,6682026,3388249,21 Rakennuspalo
2009,6676447,3386040,21 Rakennuspalo
2009,6681921,3385321,21 Rakennuspalo
2009,6688512,3386401,21 Rakennuspalo
2009,6691088,3391065,21 Rakennuspalo
2009,6677977,3385812,21 Rakennuspalo
2009,6693194,3395003,21 Rakennuspalo
2009,6693360,3397599,21 Rakennuspalo
2009,6687934,3384710,21 Rakennuspalo
2009,6681685,3385078,21 Rakennuspalo
2009,6674381,3383957,21 Rakennuspalo
2009,6677568,3386897,21 Rakennuspalo
2009,6682682,3379415,21 Rakennuspalo
2009,6678678,3384117,21 Rakennuspalo
2009,6674485,3385016,21 Rakennuspalo
2009,6676914,3384719,21 Rakennuspalo
2009,6677214,3387247,21 Rakennuspalo
2009,6676849,3387320,21 Rakennuspalo
2009,6673779,3386155,21 Rakennuspalo
2009,6678007,3366904,21 Rakennuspalo
2009,6677384,3387266,21 Rakennuspalo
2009,6674189,3371054,21 Rakennuspalo
2009,6683226,3377060,21 Rakennuspalo
2009,6673779,3386155,21 Rakennuspalo
2009,6678892,3378469,21 Rakennuspalo
2009,6684606,3388331,21 Rakennuspalo
2009,6672402,3382624,21 Rakennuspalo
2009,6681741,3383482,21 Rakennuspalo
2009,6676940,3384017,21 Rakennuspalo
2009,6677882,3385222,21 Rakennuspalo
2009,6684889,3386949,21 Rakennuspalo
2009,6674249,3385260,21 Rakennuspalo
2009,6693329,3395536,21 Rakennuspalo
2009,6689902,3392574,21 Rakennuspalo
2009,6688394,3388695,21 Rakennuspalo
2009,6676756,3384977,21 Rakennuspalo
2009,6691929,3393339,21 Rakennuspalo
2009,6688897,3382078,21 Rakennuspalo
2009,6687825,3375790,21 Rakennuspalo
2009,6686572,3395087,21 Rakennuspalo
2009,6673113,3369966,21 Rakennuspalo
2009,6673983,3391696,21 Rakennuspalo
2009,6674359,3385283,21 Rakennuspalo
2009,6676055,3386429,21 Rakennuspalo
2009,6682971,3380400,21 Rakennuspalo
2009,6683000,3393482,21 Rakennuspalo
2009,6674774,3385916,21 Rakennuspalo
2009,6682445,3382392,21 Rakennuspalo
2009,6680388,3382187,21 Rakennuspalo
2009,6691542,3393272,21 Rakennuspalo
2009,6691154,3388079,21 Rakennuspalo
2009,6682071,3387527,21 Rakennuspalo
2009,6692773,3389886,21 Rakennuspalo
2009,6685233,3388686,21 Rakennuspalo
2009,6681648,3385307,21 Rakennuspalo
2009,6680955,3377348,21 Rakennuspalo
2009,6677182,3380275,21 Rakennuspalo
2009,6677844,3387154,21 Rakennuspalo
2009,6682874,3384885,21 Rakennuspalo
2009,6677176,3386338,21 Rakennuspalo
2009,6686206,3395341,21 Rakennuspalo
2009,6682767,3366984,21 Rakennuspalo
2009,6681337,3380644,21 Rakennuspalo
2009,6679869,3394934,21 Rakennuspalo
2009,6679929,3372722,21 Rakennuspalo
2009,6686323,3391166,21 Rakennuspalo
2009,6683509,3392425,21 Rakennuspalo
2009,6687191,3381841,21 Rakennuspalo
2009,6676796,3386567,21 Rakennuspalo
2009,6677861,3383325,21 Rakennuspalo
2009,6683483,3387517,21 Rakennuspalo
2009,6678876,3391584,21 Rakennuspalo
2009,6681371,3381970,21 Rakennuspalo
2009,6678822,3393665,21 Rakennuspalo
2009,6683907,3388546,21 Rakennuspalo
2009,6674147,3385927,21 Rakennuspalo
2009,6681678,3389455,21 Rakennuspalo
2009,6673424,3368824,21 Rakennuspalo
2009,6679112,3387366,21 Rakennuspalo
2009,6678525,3397640,21 Rakennuspalo
2009,6678080,3370070,21 Rakennuspalo
2009,6684154,3393620,21 Rakennuspalo
2009,6691688,3393957,21 Rakennuspalo
2009,6675170,3386213,21 Rakennuspalo
2009,6675362,3369774,21 Rakennuspalo
2009,6680533,3369163,21 Rakennuspalo
2009,6675497,3386673,21 Rakennuspalo
2009,6679378,3396211,21 Rakennuspalo
2009,6673052,3373570,21 Rakennuspalo
2009,6687368,3396346,21 Rakennuspalo
2009,6691210,3390097,21 Rakennuspalo
2009,6692377,3394055,21 Rakennuspalo
2009,6693039,3396680,21 Rakennuspalo
2009,6681178,3396578,21 Rakennuspalo
2009,6677207,3388210,21 Rakennuspalo
2009,6680685,3382229,21 Rakennuspalo
2009,6679794,3374264,21 Rakennuspalo
2009,6695824,3371606,21 Rakennuspalo
2009,6679776,3372677,21 Rakennuspalo
2009,6675005,3386803,21 Rakennuspalo
2008,6684730,3389130,21 Rakennuspalo
2008,6681690,3381900,21 Rakennuspalo
2008,6680770,3381100,21 Rakennuspalo
2008,6677530,3385240,21 Rakennuspalo
2008,6674305,3376337,21 Rakennuspalo
2008,6683155,3373651,21 Rakennuspalo
2008,6680950,3393350,21 Rakennuspalo
2008,6679400,3382790,21 Rakennuspalo
2008,6679472,3370770,21 Rakennuspalo
2008,6687188,3379606,21 Rakennuspalo
2008,6676580,3391120,21 Rakennuspalo
2008,6677030,3387640,21 Rakennuspalo
2008,6682568,3395825,21 Rakennuspalo
2008,6677710,3392290,21 Rakennuspalo
2008,6683620,3381430,21 Rakennuspalo
2008,6691493,3393833,21 Rakennuspalo
2008,6682960,3388980,21 Rakennuspalo
2008,6685270,3388340,21 Rakennuspalo
2008,6677830,3383460,21 Rakennuspalo
2008,6678190,3391080,21 Rakennuspalo
2008,6672202,3370582,21 Rakennuspalo
2008,6695357,3394550,21 Rakennuspalo
2008,6678440,3396140,21 Rakennuspalo
2008,6692194,3393515,21 Rakennuspalo
2008,6688487,3388368,21 Rakennuspalo
2008,6677510,3387170,21 Rakennuspalo
2008,6674400,3385290,21 Rakennuspalo
2008,6678980,3396320,21 Rakennuspalo
2008,6673940,3384920,21 Rakennuspalo
2008,6684870,3392540,21 Rakennuspalo
2008,6687756,3384977,21 Rakennuspalo
2008,6687674,3384568,21 Rakennuspalo
2008,6676820,3391340,21 Rakennuspalo
2008,6678560,3397660,21 Rakennuspalo
2008,6676150,3385170,21 Rakennuspalo
2008,6681200,3383370,21 Rakennuspalo
